Tag,Type,Placeholder,ID,Value,Class,Classification
input,password,a-input-text hide,login,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,,password,ap_password,1
input,text,,text,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,,secondaryLoginClaim,,0
input,text,IP signInInp b-email,text,,email-mobile,0
input,search,,text,firstName,,0
input,submit,,password,,u_0_17,0
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,,websubmit,,1
button,submit,,btnSubmit,did_submit,,1
button,,uiButton,btnOk,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,ok,login,loginbutton,1
button,submit,,submit,websubmit,,1
input,submit,a-button-input,sign-in,,continue,0
a,,,btnsignin,,createAccountSubmit,1
input,submit,a-button-input,login,,signInSubmit,1
input,submit,a-button-input,,submit.addToCart,,1
input,submit,,,proceedToCheckout,,1
input,submit,a-button-input,text,,,0
button,,fl button,,,search_btn,0
button,,action-button M12A,,,doSignin,1
button,,,text,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,text,,,0
input,submit,booking large,password,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,,,email,0
input,password,inputtext,,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,,1
input,text,_2zrpKA,,,,0
input,password,_2zrpKA _3v41xv,,,,0
input,text,_2zrpKA,,,,0
input,text,_2zrpKA,,,,0
input,password,_2zrpKA,,,,0
input,text,_16qL6K _366U7Q,,name,,0
input,text,_16qL6K _366U7Q,,addressLine12,,0
input,text,_16qL6K _366U7Q,,pincode,,0
input,text,_16qL6K _366U7Q,,city,,0
input,text,_16qL6K _366U7Q,,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,btnSubmit,email,ap_email,0
input,password,a-input-text hide,btnOk,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,ok,password,ap_password,1
input,text,,submit,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,sign-in,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,btnsignin,secondaryLoginClaim,,0
input,text,IP signInInp b-email,login,,email-mobile,0
input,search,,,firstName,,0
input,submit,,,,u_0_18,0
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,text,websubmit,,1
button,submit,,,did_submit,,1
button,,uiButton,,,,1
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,text,login,loginbutton,1
button,submit,,text,websubmit,,1
input,submit,a-button-input,password,,continue,1
a,,,btnSubmit,,createAccountSubmit,1
input,submit,a-button-input,btnOk,,signInSubmit,1
input,submit,a-button-input,ok,submit.addToCart,,1
input,submit,,submit,proceedToCheckout,,1
input,submit,a-button-input,sign-in,,,0
button,,fl button,btnsignin,,search_btn,0
button,,action-button M12A,login,,doSignin,1
button,,,,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,,,,1
input,submit,booking large,text,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,,firstname,,0
input,email,inputtext,,,email,0
input,password,inputtext,text,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,,0
input,text,inputtext _58mg _5dba _2ph-,password,reg_email__,,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,,1
input,text,_2zrpKA,,,,0
input,password,_2zrpKA _3v41xv,btnSubmit,,,0
input,text,_2zrpKA,btnOk,,,0
input,text,_2zrpKA,ok,,,0
input,password,_2zrpKA,submit,,,1
input,text,_16qL6K _366U7Q,sign-in,name,,0
input,text,_16qL6K _366U7Q,btnsignin,addressLine13,,0
input,text,_16qL6K _366U7Q,login,pincode,,0
input,text,_16qL6K _366U7Q,,city,,0
input,text,_16qL6K _366U7Q,,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,text,email,ap_email,0
input,password,a-input-text hide,,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,,password,ap_password,1
input,text,,text,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,text,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,password,secondaryLoginClaim,,0
input,text,IP signInInp b-email,btnSubmit,,email-mobile,0
input,search,,btnOk,firstName,,0
input,submit,,ok,,u_0_19,1
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,submit,websubmit,,1
button,submit,,sign-in,did_submit,,1
button,,uiButton,btnsignin,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,login,login,loginbutton,1
button,submit,,,websubmit,,1
input,submit,a-button-input,,,continue,0
a,,,text,,createAccountSubmit,1
input,submit,a-button-input,,,signInSubmit,1
input,submit,a-button-input,,submit.addToCart,,1
input,submit,,text,proceedToCheckout,,1
input,submit,a-button-input,text,,,1
button,,fl button,password,,search_btn,0
button,,action-button M12A,,,doSignin,1
button,,,,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,,,,0
input,submit,booking large,,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,,,email,0
input,password,inputtext,,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,,1
input,text,_2zrpKA,,,,0
input,password,_2zrpKA _3v41xv,,,,1
input,text,_2zrpKA,,,,0
input,text,_2zrpKA,,,,0
input,password,_2zrpKA,,,,1
input,text,_16qL6K _366U7Q,,name,,0
input,text,_16qL6K _366U7Q,,addressLine14,,0
input,text,_16qL6K _366U7Q,,pincode,,0
input,text,_16qL6K _366U7Q,btnSubmit,city,,0
input,text,_16qL6K _366U7Q,btnOk,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,ok,email,ap_email,0
input,password,a-input-text hide,submit,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,sign-in,password,ap_password,1
input,text,,btnsignin,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,login,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,,secondaryLoginClaim,,0
input,text,IP signInInp b-email,,,email-mobile,0
input,search,,text,firstName,,0
input,submit,,,,u_0_20,0
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,,websubmit,,1
button,submit,,text,did_submit,,1
button,,uiButton,text,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,password,login,loginbutton,1
button,submit,,btnSubmit,websubmit,,1
input,submit,a-button-input,btnOk,,continue,0
a,,,ok,,createAccountSubmit,0
input,submit,a-button-input,submit,,signInSubmit,1
input,submit,a-button-input,sign-in,submit.addToCart,,1
input,submit,,btnsignin,proceedToCheckout,,0
input,submit,a-button-input,login,,,0
button,,fl button,,,search_btn,1
button,,action-button M12A,,,doSignin,1
button,,,text,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,,,,0
input,submit,booking large,,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,text,,email,1
input,password,inputtext,password,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,,1
input,text,_2zrpKA,btnSubmit,,,0
input,password,_2zrpKA _3v41xv,btnOk,,,0
input,text,_2zrpKA,ok,,,0
input,text,_2zrpKA,submit,,,0
input,password,_2zrpKA,sign-in,,,0
input,text,_16qL6K _366U7Q,btnsignin,name,,0
input,text,_16qL6K _366U7Q,login,addressLine15,,0
input,text,_16qL6K _366U7Q,,pincode,,0
input,text,_16qL6K _366U7Q,,city,,0
input,text,_16qL6K _366U7Q,text,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,,email,ap_email,0
input,password,a-input-text hide,,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,text,password,ap_password,1
input,text,,text,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,password,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,btnSubmit,secondaryLoginClaim,,0
input,text,IP signInInp b-email,btnOk,,email-mobile,0
input,search,,ok,firstName,,0
input,submit,,submit,,u_0_21,0
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,sign-in,websubmit,,1
button,submit,,btnsignin,did_submit,,1
button,,uiButton,login,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,,login,loginbutton,1
button,submit,,,websubmit,,1
input,submit,a-button-input,text,,continue,0
a,,,,,createAccountSubmit,1
input,submit,a-button-input,,,signInSubmit,1
input,submit,a-button-input,text,submit.addToCart,,1
input,submit,,text,proceedToCheckout,,0
input,submit,a-button-input,password,,,1
button,,fl button,,,search_btn,0
button,,action-button M12A,,,doSignin,0
button,,,,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,,,,0
input,submit,booking large,,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,,,email,0
input,password,inputtext,,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,,1
input,text,_2zrpKA,,,,0
input,password,_2zrpKA _3v41xv,,,,1
input,text,_2zrpKA,,,,0
input,text,_2zrpKA,,,,0
input,password,_2zrpKA,,,,1
input,text,_16qL6K _366U7Q,,name,,0
input,text,_16qL6K _366U7Q,,addressLine16,,0
input,text,_16qL6K _366U7Q,,pincode,,0
input,text,_16qL6K _366U7Q,,city,,0
input,text,_16qL6K _366U7Q,,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,btnSubmit,email,ap_email,0
input,password,a-input-text hide,btnOk,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,ok,password,ap_password,1
input,text,,submit,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,sign-in,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,btnsignin,secondaryLoginClaim,,0
input,text,IP signInInp b-email,login,,email-mobile,0
input,search,,,firstName,,0
input,submit,,,,u_0_22,1
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,text,websubmit,,1
button,submit,,,did_submit,,1
button,,uiButton,,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,text,login,loginbutton,1
button,submit,,text,websubmit,,1
input,submit,a-button-input,password,,continue,0
a,,,btnSubmit,,createAccountSubmit,1
input,submit,a-button-input,btnOk,,signInSubmit,1
input,submit,a-button-input,ok,submit.addToCart,,1
input,submit,,submit,proceedToCheckout,,1
input,submit,a-button-input,sign-in,,,1
button,,fl button,btnsignin,,search_btn,0
button,,action-button M12A,login,,doSignin,1
button,,,,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,,,,0
input,submit,booking large,text,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,,firstname,,0
input,email,inputtext,,,email,0
input,password,inputtext,text,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,,0
input,text,inputtext _58mg _5dba _2ph-,password,reg_email__,,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,,1
input,text,_2zrpKA,,,,0
input,password,_2zrpKA _3v41xv,btnSubmit,,,0
input,text,_2zrpKA,btnOk,,,0
input,text,_2zrpKA,ok,,,0
input,password,_2zrpKA,submit,,,1
input,text,_16qL6K _366U7Q,sign-in,name,,0
input,text,_16qL6K _366U7Q,btnsignin,addressLine17,,0
input,text,_16qL6K _366U7Q,login,pincode,,0
input,text,_16qL6K _366U7Q,,city,,0
input,text,_16qL6K _366U7Q,,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,text,email,ap_email,0
input,password,a-input-text hide,,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,,password,ap_password,1
input,text,,text,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,text,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,password,secondaryLoginClaim,,0
input,text,IP signInInp b-email,btnSubmit,,email-mobile,0
input,search,,btnOk,firstName,,0
input,submit,,ok,,u_0_23,1
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,submit,websubmit,,1
button,submit,,sign-in,did_submit,,1
button,,uiButton,btnsignin,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,login,login,loginbutton,0
button,submit,,,websubmit,,1
input,submit,a-button-input,,,continue,1
a,,,text,,createAccountSubmit,1
input,submit,a-button-input,,,signInSubmit,1
input,submit,a-button-input,,submit.addToCart,,1
input,submit,,text,proceedToCheckout,,1
input,submit,a-button-input,text,,,0
button,,fl button,password,,search_btn,1
button,,action-button M12A,,,doSignin,1
button,,,,,copyReferCode,1
button,,_3y9b  _1wLi _2vdF,,,,1
input,submit,booking large,,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,,,email,0
input,password,inputtext,,pass,pass,0
input,text,inputtext _58mg _5dba _2ph-,text,lastname,,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,,0
input,text,_2zrpKA,,,,0
input,password,_2zrpKA _3v41xv,,,,0
input,text,_2zrpKA,,,,0
input,text,_2zrpKA,,,,0
input,password,_2zrpKA,,,,0
input,text,_16qL6K _366U7Q,,name,,0
input,text,_16qL6K _366U7Q,,addressLine18,,0
input,text,_16qL6K _366U7Q,,pincode,,0
input,text,_16qL6K _366U7Q,,city,,0
input,text,_16qL6K _366U7Q,,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,,email,ap_email,0
input,password,a-input-text hide,,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,,password,ap_password,1
input,text,,,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,,secondaryLoginClaim,,0
input,text,IP signInInp b-email,,,email-mobile,0
input,search,,,firstName,,0
input,submit,,,,u_0_24,1
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,,websubmit,,1
button,submit,,,did_submit,,1
button,,uiButton,,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,,login,loginbutton,1
button,submit,,btnSubmit,websubmit,,1
input,submit,a-button-input,btnOk,,continue,1
a,,,ok,,createAccountSubmit,0
input,submit,a-button-input,submit,,signInSubmit,1
input,submit,a-button-input,sign-in,submit.addToCart,,1
input,submit,,btnsignin,proceedToCheckout,,0
input,submit,a-button-input,login,,,0
button,,fl button,,,search_btn,0
button,,action-button M12A,,,doSignin,1
button,,,text,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,,,,0
input,submit,booking large,,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,text,,email,0
input,password,inputtext,password,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,,1
input,text,_2zrpKA,,,,0
input,password,_2zrpKA _3v41xv,btnSubmit,,,1
input,text,_2zrpKA,btnOk,,,0
input,text,_2zrpKA,ok,,,0
input,password,_2zrpKA,submit,,,1
input,text,_16qL6K _366U7Q,sign-in,name,,0
input,text,_16qL6K _366U7Q,btnsignin,addressLine19,,0
input,text,_16qL6K _366U7Q,login,pincode,,0
input,text,_16qL6K _366U7Q,,city,,0
input,text,_16qL6K _366U7Q,,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,text,email,ap_email,0
input,password,a-input-text hide,,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,,password,ap_password,1
input,text,,text,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,text,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,password,secondaryLoginClaim,,0
input,text,IP signInInp b-email,btnSubmit,,email-mobile,0
input,search,,btnOk,firstName,,0
input,submit,,ok,,u_0_25,1
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,submit,websubmit,,1
button,submit,,sign-in,did_submit,,1
button,,uiButton,btnsignin,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,login,login,loginbutton,1
button,submit,,,websubmit,,1
input,submit,a-button-input,,,continue,1
a,,,text,,createAccountSubmit,1
input,submit,a-button-input,,,signInSubmit,1
input,submit,a-button-input,,submit.addToCart,,1
input,submit,,text,proceedToCheckout,,1
input,submit,a-button-input,text,,,1
button,,fl button,password,,search_btn,1
button,,action-button M12A,,,doSignin,1
button,,,,,copyReferCode,1
button,,_3y9b  _1wLi _2vdF,,,,1
input,submit,booking large,,,SearchBtn,1
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,,,email,0
input,password,inputtext,,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,,1
input,text,_2zrpKA,,,,0
input,password,_2zrpKA _3v41xv,,,,0
input,text,_2zrpKA,,,,0
input,text,_2zrpKA,,,,0
input,password,_2zrpKA,,,,0
input,text,_16qL6K _366U7Q,,name,,0
input,text,_16qL6K _366U7Q,,addressLine20,,0
input,text,_16qL6K _366U7Q,,pincode,,0
input,text,_16qL6K _366U7Q,,city,,0
input,text,_16qL6K _366U7Q,,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,,email,ap_email,0
input,password,a-input-text hide,,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,,password,ap_password,1
input,text,,,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,,secondaryLoginClaim,,0
input,text,IP signInInp b-email,,,email-mobile,0
input,search,,,firstName,,0
input,submit,,,,u_0_26,0
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,,websubmit,,1
button,submit,,,did_submit,,1
button,,uiButton,,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,,login,loginbutton,1
button,submit,,,websubmit,,1
input,submit,a-button-input,,,continue,0
a,,,,,createAccountSubmit,1
input,submit,a-button-input,,,signInSubmit,1
input,submit,a-button-input,,submit.addToCart,,1
input,submit,,,proceedToCheckout,,0
input,submit,a-button-input,,,,0
button,,fl button,,,search_btn,0
button,,action-button M12A,,,doSignin,1
button,,,,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,,,,0
input,submit,booking large,,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,,,email,0
input,password,inputtext,,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,,1
input,text,_2zrpKA,,,,0
input,password,_2zrpKA _3v41xv,,,,0
input,text,_2zrpKA,,,,0
input,text,_2zrpKA,,,,0
input,password,_2zrpKA,,,,0
input,text,_16qL6K _366U7Q,,name,,0
input,text,_16qL6K _366U7Q,,addressLine21,,0
input,text,_16qL6K _366U7Q,,pincode,,0
input,text,_16qL6K _366U7Q,,city,,0
input,text,_16qL6K _366U7Q,,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,,email,ap_email,0
input,password,a-input-text hide,,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,,password,ap_password,1
input,text,,,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,,secondaryLoginClaim,,0
input,text,IP signInInp b-email,,,email-mobile,0
input,search,,,firstName,,0
input,submit,,,,u_0_27,0
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,,websubmit,,1
button,submit,,,did_submit,,1
button,,uiButton,,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,,login,loginbutton,1
button,submit,,,websubmit,,1
input,submit,a-button-input,,,continue,0
a,,,,,createAccountSubmit,1
input,submit,a-button-input,,,signInSubmit,1
input,submit,a-button-input,,submit.addToCart,,1
input,submit,,,proceedToCheckout,,0
input,submit,a-button-input,,,,0
button,,fl button,,,search_btn,0
button,,action-button M12A,,,doSignin,1
button,,,,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,,,,0
input,submit,booking large,,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,,,email,0
input,password,inputtext,,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,,1
input,text,_2zrpKA,,,,0
input,password,_2zrpKA _3v41xv,,,,0
input,text,_2zrpKA,,,,0
input,text,_2zrpKA,,,,0
input,password,_2zrpKA,,,,0
input,text,_16qL6K _366U7Q,,name,,0
input,text,_16qL6K _366U7Q,,addressLine22,,0
input,text,_16qL6K _366U7Q,,pincode,,0
input,text,_16qL6K _366U7Q,,city,,0
input,text,_16qL6K _366U7Q,,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,,email,ap_email,0
input,password,a-input-text hide,,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,,password,ap_password,1
input,text,,,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,,secondaryLoginClaim,,0
input,text,IP signInInp b-email,,,email-mobile,0
input,search,,,firstName,,0
input,submit,,,,u_0_28,0
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,,websubmit,,1
button,submit,,,did_submit,,1
button,,uiButton,,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,,login,loginbutton,0
button,submit,,,websubmit,,1
input,submit,a-button-input,,,continue,0
a,,,,,createAccountSubmit,1
input,submit,a-button-input,,,signInSubmit,1
input,submit,a-button-input,,submit.addToCart,,1
input,submit,,,proceedToCheckout,,0
input,submit,a-button-input,,,,1
button,,fl button,,,search_btn,1
button,,action-button M12A,,,doSignin,1
button,,,,,copyReferCode,1
button,,_3y9b  _1wLi _2vdF,,,,1
input,submit,booking large,,,SearchBtn,1
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,,,email,1
input,password,inputtext,,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,,1
input,text,_2zrpKA,,,,1
input,password,_2zrpKA _3v41xv,,,,0
input,text,_2zrpKA,,,,0
input,text,_2zrpKA,,,,0
input,password,_2zrpKA,,,,0
input,text,_16qL6K _366U7Q,,name,,0
input,text,_16qL6K _366U7Q,,addressLine23,,0
input,text,_16qL6K _366U7Q,,pincode,,0
input,text,_16qL6K _366U7Q,,city,,0
input,text,_16qL6K _366U7Q,,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,,email,ap_email,0
input,password,a-input-text hide,,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,,password,ap_password,1
input,text,,,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,,secondaryLoginClaim,,0
input,text,IP signInInp b-email,,,email-mobile,0
input,search,,,firstName,,0
input,submit,,,,u_0_29,0
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,,websubmit,,1
button,submit,,,did_submit,,1
button,,uiButton,,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,,login,loginbutton,1
button,submit,,,websubmit,,1
input,submit,a-button-input,,,continue,0
a,,,,,createAccountSubmit,1
input,submit,a-button-input,,,signInSubmit,1
input,submit,a-button-input,,submit.addToCart,,0
input,submit,,,proceedToCheckout,,0
input,submit,a-button-input,,,,0
button,,fl button,,,search_btn,0
button,,action-button M12A,,,doSignin,1
button,,,,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,,,,0
input,submit,booking large,,,SearchBtn,1
input,text,inputtext _58mg _5dba _2ph-,text,firstname,,0
input,email,inputtext,,,email,0
input,password,inputtext,,pass,pass,1
input,text,inputtext _58mg _5dba _2ph-,text,lastname,,0
input,text,inputtext _58mg _5dba _2ph-,text,reg_email__,,0
input,password,inputtext _58mg _5dba _2ph-,password,reg_passwd__,,1
input,text,_2zrpKA,Enter,,,0
input,password,_2zrpKA _3v41xv,Submit,,,1
input,text,_2zrpKA,Click to Enter,,,0
input,text,_2zrpKA,Click to Login,,,1
input,password,_2zrpKA,Click to Sign In,,,1
input,text,_16qL6K _366U7Q,login,name,,0
input,text,_16qL6K _366U7Q,login,addressLine24,,0
input,text,_16qL6K _366U7Q,login,pincode,,0
input,text,_16qL6K _366U7Q,login,city,,0
input,text,_16qL6K _366U7Q,login,landmark,,0
input,email,a-input-text a-span12 auth-autofocus auth-required-field,login,email,ap_email,0
input,password,a-input-text hide,login,password,ap-credential-autofill-hint,1
input,password,a-input-text a-span12 auth-autofocus auth-required-field,login,password,ap_password,1
input,text,,Ok,address-ui-widgets-enterAddressFullName,address-ui-widgets-enterAddressFullName,0
input,text,,Sign In,customerName,ap_customer_name,0
input,text,a-input-text a-span12 auth-require-email-validaton,Enter,secondaryLoginClaim,,0
input,text,IP signInInp b-email,Submit,,email-mobile,0
input,search,,Click to Enter,firstName,,0
input,submit,,Click to Login,,u_0_30,1
button,submit,_6j mvm _6wk _6wl _58mi _3ma _6o _6v,Click to Sign In,websubmit,,1
button,submit,,login,did_submit,,1
button,,uiButton,login,,,0
button,submit,_42ft _4jy0 _52e0 _4jy6 _4jy1 selected _51sy,login,login,loginbutton,1
button,submit,,login,websubmit,,1
input,submit,a-button-input,login,,continue,0
a,,,login,,createAccountSubmit,0
input,submit,a-button-input,login,,signInSubmit,1
input,submit,a-button-input,login,submit.addToCart,,1
input,submit,,Ok,proceedToCheckout,,1
input,submit,a-button-input,Sign In,,,0
button,,fl button,Enter,,search_btn,0
button,,action-button M12A,Submit,,doSignin,1
button,,,Click to Enter,,copyReferCode,0
button,,_3y9b  _1wLi _2vdF,Click to Login,,,0
input,submit,booking large,Click to Sign In,,SearchBtn,0
input,text,inputtext _58mg _5dba _2ph-,login,firstname,,0
